blocks;minecraft:air;minecraft:amethyst_block;minecraft:amethyst_cluster;minecraft:andesite;minecraft:azalea;minecraft:barrel;minecraft:bedrock;minecraft:big_dripleaf;minecraft:big_dripleaf_stem;minecraft:birch_fence;minecraft:birch_planks;minecraft:birch_slab;minecraft:birch_stairs;minecraft:black_stained_glass;minecraft:blue_bed;minecraft:bubble_column;minecraft:budding_amethyst;minecraft:calcite;minecraft:candle;minecraft:cave_air;minecraft:cave_vines;minecraft:cave_vines_plant;minecraft:chain;minecraft:chest;minecraft:chiseled_sandstone;minecraft:chiseled_stone_bricks;minecraft:chiseled_tuff;minecraft:chiseled_tuff_bricks;minecraft:clay;minecraft:coal_ore;minecraft:cobbled_deepslate;minecraft:cobblestone;minecraft:cobweb;minecraft:copper_ore;minecraft:crafting_table;minecraft:crying_obsidian;minecraft:cut_sandstone;minecraft:dark_oak_log;minecraft:dark_oak_planks;minecraft:dark_oak_stairs;minecraft:dark_oak_trapdoor;minecraft:decorated_pot;minecraft:deepslate;minecraft:deepslate_coal_ore;minecraft:deepslate_copper_ore;minecraft:deepslate_diamond_ore;minecraft:deepslate_gold_ore;minecraft:deepslate_iron_ore;minecraft:deepslate_lapis_ore;minecraft:deepslate_redstone_ore;minecraft:diamond_ore;minecraft:diorite;minecraft:dirt;minecraft:dispenser;minecraft:flower_pot;minecraft:flowering_azalea;minecraft:glow_lichen;minecraft:gold_block;minecraft:gold_ore;minecraft:granite;minecraft:grass_block;minecraft:gravel;minecraft:gray_bed;minecraft:hopper;minecraft:iron_ore;minecraft:kelp;minecraft:kelp_plant;minecraft:ladder;minecraft:lapis_ore;minecraft:large_amethyst_bud;minecraft:lava;minecraft:light_blue_terracotta;minecraft:magenta_bed;minecraft:magma_block;minecraft:medium_amethyst_bud;minecraft:moss_block;minecraft:moss_carpet;minecraft:mossy_cobblestone;minecraft:mossy_stone_brick_slab;minecraft:mossy_stone_brick_stairs;minecraft:netherrack;minecraft:oak_button;minecraft:oak_fence;minecraft:oak_leaves;minecraft:oak_log;minecraft:oak_planks;minecraft:oak_pressure_plate;minecraft:oak_slab;minecraft:oak_stairs;minecraft:oak_trapdoor;minecraft:oak_wood;minecraft:obsidian;minecraft:packed_ice;minecraft:polished_granite;minecraft:polished_tuff;minecraft:polished_tuff_slab;minecraft:potted_dead_bush;minecraft:purple_bed;minecraft:raw_copper_block;minecraft:raw_iron_block;minecraft:red_bed;minecraft:red_candle;minecraft:red_glazed_terracotta;minecraft:redstone_ore;minecraft:sand;minecraft:sandstone;minecraft:sea_lantern;minecraft:seagrass;minecraft:short_grass;minecraft:small_amethyst_bud;minecraft:small_dripleaf;minecraft:smooth_basalt;minecraft:spawner;minecraft:spore_blossom;minecraft:spruce_door;minecraft:spruce_fence;minecraft:spruce_planks;minecraft:spruce_stairs;minecraft:spruce_trapdoor;minecraft:stone;minecraft:stone_brick_stairs;minecraft:stone_bricks;minecraft:suspicious_sand;minecraft:tall_grass;minecraft:tall_seagrass;minecraft:trial_spawner;minecraft:tuff;minecraft:tuff_bricks;minecraft:vault;minecraft:vine;minecraft:wall_torch;minecraft:water;minecraft:waxed_chiseled_copper;minecraft:waxed_copper_block;minecraft:waxed_copper_bulb;minecraft:waxed_copper_door;minecraft:waxed_copper_grate;minecraft:waxed_cut_copper;minecraft:waxed_cut_copper_slab;minecraft:waxed_cut_copper_stairs;minecraft:waxed_exposed_copper_bulb;minecraft:waxed_oxidized_chiseled_copper;minecraft:waxed_oxidized_copper;minecraft:waxed_oxidized_copper_bulb;minecraft:waxed_oxidized_copper_door;minecraft:waxed_oxidized_copper_grate;minecraft:waxed_oxidized_copper_trapdoor;minecraft:waxed_oxidized_cut_copper;minecraft:waxed_oxidized_cut_copper_slab;minecraft:waxed_oxidized_cut_copper_stairs;minecraft:waxed_weathered_copper_bulb;minecraft:white_stained_glass
-54;8676;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;221781;0;0;472;369;182;135;1090;0;0;0;0;0;0;6;0;0;0;0;4054;0;0;0;0;0;0;0;0;73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19489;0;0;0;0;404;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-53;9950;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;220966;0;0;419;370;214;115;1024;0;0;0;0;0;0;10;0;0;0;0;4074;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19370;25;0;0;0;72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-52;10877;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;56;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;220377;0;0;478;336;213;134;968;0;0;0;0;0;0;15;0;0;0;0;4030;0;0;0;0;0;0;0;0;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18962;19;0;0;0;117;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0
-51;12072;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;89;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;219708;0;0;512;366;173;136;869;0;0;0;0;0;0;18;0;0;0;0;3742;0;0;0;0;0;0;0;1;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;105;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18731;2;0;0;1;119;0;15;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0
-50;13555;75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;88;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;218163;0;0;458;328;196;103;915;0;0;0;0;0;0;14;0;0;0;0;3476;0;0;0;0;0;0;0;0;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18074;1000;0;0;0;111;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0
-49;14981;82;0;0;0;1;0;0;0;0;0;0;0;0;0;0;8;102;0;0;0;0;0;0;0;0;0;13;0;0;0;5;0;0;0;0;0;0;0;0;0;0;217088;0;0;496;232;174;148;909;0;0;0;0;0;0;16;0;0;0;0;3367;0;0;0;0;0;0;0;0;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;230;0;0;0;0;0;0;0;3;0;0;0;0;0;0;17719;943;0;0;0;136;0;0;0;0;0;0;0;0;0;0;49;0;0;0;0;0;0;2;0;0
-48;16700;81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;176;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;215342;0;0;466;168;204;149;811;0;0;0;0;0;0;17;0;0;0;0;3343;0;1;0;0;0;0;0;0;85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;254;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17591;1035;0;0;0;267;0;42;1;0;0;3;3;0;0;0;1;0;0;0;0;0;0;4;0;0
-47;16929;117;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;231;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;215069;0;0;503;188;193;136;738;0;0;0;0;0;0;10;0;0;0;0;3301;0;0;0;0;0;0;0;0;54;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;246;0;0;0;0;0;0;0;1;0;0;0;0;0;0;17715;1007;1;0;0;240;0;2;0;0;0;0;2;0;4;0;52;1;0;0;0;12;0;4;1;0
-46;17679;165;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;243;0;0;0;0;0;1;0;0;0;46;0;0;5;2;0;0;0;0;0;0;0;0;0;0;214090;0;0;496;205;193;132;733;0;0;0;0;0;0;20;0;0;0;0;3387;0;0;0;0;0;0;0;1;65;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;253;0;0;0;0;0;0;0;2;0;0;0;0;0;0;17754;888;0;0;1;302;1;63;0;0;0;0;0;0;0;0;18;0;0;3;0;0;0;5;0;0
-45;18551;213;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;247;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;213100;0;0;428;209;196;105;700;0;0;0;0;0;0;17;0;0;0;0;3301;0;0;0;0;0;0;0;1;146;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;36;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;230;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17867;909;0;0;0;369;0;2;11;0;0;0;0;0;0;0;4;2;0;3;0;68;0;15;2;0
-44;20171;231;1;0;0;0;0;0;0;0;0;0;0;0;0;0;23;240;0;0;0;0;0;0;0;0;4;64;0;0;3;0;0;0;0;0;0;0;0;0;0;0;211280;0;0;415;240;183;110;603;0;0;0;1;0;0;23;0;0;0;0;3301;0;0;0;0;0;0;0;0;171;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;243;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17924;552;0;0;0;524;4;67;0;0;0;0;0;0;0;0;279;0;0;3;37;45;0;15;0;0
-43;22397;193;0;0;0;0;0;0;0;0;0;0;0;0;0;6;23;236;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;208904;0;0;418;218;179;131;579;0;0;0;3;0;0;14;0;0;0;0;3277;0;0;0;0;0;0;0;0;204;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;26;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;288;0;0;0;0;0;0;0;0;0;0;0;0;0;1;18168;469;0;0;0;819;0;146;0;0;38;3;3;0;0;0;5;0;0;0;0;0;0;8;0;0
-42;24320;181;2;0;0;1;0;0;0;0;0;0;0;0;0;6;14;254;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;206513;0;0;410;226;216;121;563;0;0;0;0;0;0;22;0;0;0;0;3368;0;0;0;0;0;0;0;0;264;0;0;3;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;4;0;24;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;265;0;0;0;0;0;0;0;1;0;0;0;0;0;0;18227;434;1;0;0;1090;4;22;15;0;33;0;2;0;2;0;122;1;0;0;0;12;0;9;6;0
-41;26226;185;0;0;0;0;0;0;0;0;0;0;0;0;0;8;22;208;0;0;0;0;0;0;0;0;0;191;0;0;0;0;0;0;0;0;0;0;0;0;0;0;203046;0;0;349;234;177;110;492;0;0;0;0;0;0;26;0;0;0;0;3348;0;1;0;0;0;1;0;1;378;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;274;0;0;0;0;0;0;0;0;0;0;0;0;0;1;17808;2229;0;0;0;1351;2;22;1;0;28;6;6;0;0;0;19;0;0;0;0;0;0;2;0;0
-40;27940;186;1;0;0;0;0;0;0;0;0;0;0;0;0;8;20;193;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;201142;0;0;362;270;205;116;519;0;0;0;0;0;0;25;0;0;0;0;3221;0;0;0;0;0;1;0;0;554;0;0;0;1;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;298;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17438;2295;2;0;1;1744;0;6;0;0;0;0;4;0;0;0;121;0;0;6;0;2;0;5;0;0
-39;25413;173;0;0;0;0;0;0;0;0;0;0;0;0;0;8;17;240;0;22;0;0;0;2;0;0;0;5;0;0;0;22;0;0;0;0;0;0;0;0;0;0;203299;0;0;354;226;220;135;519;0;0;0;0;0;0;19;0;0;0;0;3469;0;0;0;0;0;1;0;0;768;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;332;1;0;0;0;0;0;0;0;0;0;0;0;0;0;17213;1740;1;0;0;1815;2;47;1;0;0;0;0;0;0;0;535;0;0;0;0;133;0;29;0;0
-38;24456;185;1;0;0;2;0;0;0;0;0;0;0;0;0;8;13;280;2;27;0;0;0;1;0;0;1;10;0;0;0;22;0;0;0;0;0;0;0;0;0;8;204139;0;0;426;263;272;117;468;0;0;0;0;1;0;33;0;0;0;0;3757;0;0;0;0;0;1;0;1;987;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;2;1;0;0;2;0;0;2;0;0;0;0;0;0;0;0;330;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17063;1253;0;0;0;2028;1;306;0;0;34;0;0;0;1;0;5;0;0;0;0;198;0;41;0;0
-37;23287;224;0;0;0;0;0;0;0;0;0;0;0;0;0;9;16;284;0;26;0;0;10;0;0;0;1;0;0;0;0;58;0;0;0;0;0;0;0;0;0;0;204530;0;0;438;276;256;126;438;0;0;0;0;0;0;32;0;0;0;0;4060;0;0;0;0;0;2;0;2;1285;0;0;0;1;0;0;109;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;299;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16877;1158;0;0;0;2311;3;126;22;0;26;0;0;0;11;0;258;5;0;6;0;133;1;41;12;0
-36;23051;245;0;0;0;3;0;0;0;0;0;0;0;0;0;9;25;260;5;103;0;0;14;4;0;0;6;260;0;0;0;79;0;0;0;0;0;0;0;0;0;20;204210;0;0;439;288;281;149;472;0;0;0;0;4;0;21;0;0;0;0;4086;0;0;0;0;0;5;0;1;1488;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;239;0;2;0;0;4;0;2;0;0;0;0;0;0;0;0;0;281;2;0;0;0;0;0;0;0;0;0;0;0;0;0;16965;655;1;0;0;2680;2;292;1;0;19;0;0;0;0;0;40;0;2;4;0;31;0;12;0;0
-35;23413;254;0;0;0;0;0;0;0;0;0;0;0;0;0;9;20;245;0;89;0;0;14;0;0;0;9;17;2;0;0;54;0;0;0;0;0;0;0;0;0;0;202763;0;0;389;330;313;129;363;0;0;0;0;0;0;23;0;0;0;0;3675;0;0;0;0;0;4;0;1;1521;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;206;2;0;0;0;2;0;0;2;0;0;0;0;0;0;1;0;270;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17277;2130;0;0;0;3113;4;72;10;0;6;0;0;0;7;0;0;1;2;0;0;0;0;10;7;0
-34;23804;240;0;0;0;1;0;0;0;0;0;0;0;2;0;6;19;245;0;90;0;0;14;0;0;0;32;289;4;0;0;53;0;0;0;0;0;0;0;0;0;0;202012;0;0;400;329;297;141;295;0;0;0;0;0;0;24;0;0;0;0;3199;0;0;0;0;0;5;0;2;1626;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;0;0;0;0;7;0;0;0;0;0;0;0;0;0;1;0;265;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17762;1392;0;0;1;3389;1;122;4;0;12;0;0;0;1;0;580;1;0;17;0;17;0;11;0;0
-33;24076;188;1;0;0;0;0;0;0;0;0;0;0;2;2;7;15;234;0;88;0;0;0;0;0;0;0;10;7;0;0;74;0;0;1;0;0;0;0;0;0;1;201017;0;0;419;315;318;161;284;0;0;0;0;0;0;24;0;0;0;0;2903;2;1;0;0;0;5;0;1;1662;0;2;0;0;0;0;45;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;859;0;0;2;0;4;2;0;0;0;0;0;0;0;0;3;0;249;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17874;1924;0;0;0;3600;16;299;1;1;4;18;18;0;2;0;6;0;0;0;0;0;0;12;2;4
